hora_utc,estacion,mm
2026-09-23 05:00,curinanco,4.5
2026-09-23 05:00,islateja,6.1
2026-09-23 05:00,las_lomas,2.9
2026-09-23 05:00,llancahue,3.8
2026-09-23 05:00,pichoy,2.2
2026-09-23 06:00,austral,4.8
2026-09-23 06:00,chaihuin,5.2
2026-09-23 06:00,corral,7.8
2026-09-23 06:00,corral_essal,10.0
2026-09-23 06:00,curinanco,3.0
2026-09-23 06:00,islateja,3.7
2026-09-23 06:00,las_lomas,2.2
2026-09-23 06:00,llancahue,2.5
2026-09-23 06:00,pichoy,1.2
2026-09-23 07:00,austral,5.7
2026-09-23 07:00,chaihuin,8.0
2026-09-23 07:00,corral,11.1
2026-09-23 07:00,corral_essal,4.9
2026-09-23 07:00,curinanco,6.9
2026-09-23 07:00,islateja,6.3
2026-09-23 07:00,las_lomas,3.6
2026-09-23 07:00,llancahue,5.1
2026-09-23 07:00,pichoy,3.2
2026-09-23 08:00,austral,5.7
2026-09-23 08:00,chaihuin,6.9
2026-09-23 08:00,corral,17.2
2026-09-23 08:00,corral_essal,7.2
2026-09-23 08:00,curinanco,11.9
2026-09-23 08:00,islateja,5.8
2026-09-23 08:00,las_lomas,4.9
2026-09-23 08:00,llancahue,5.5
2026-09-23 08:00,pichoy,4.2
2026-09-23 09:00,austral,7.2
2026-09-23 09:00,chaihuin,7.6
2026-09-23 09:00,corral,18.6
2026-09-23 09:00,corral_essal,5.0
2026-09-23 09:00,curinanco,9.3
2026-09-23 09:00,islateja,6.5
2026-09-23 09:00,las_lomas,6.9
2026-09-23 09:00,llancahue,6.1
2026-09-23 09:00,pichoy,5.2
2026-09-23 10:00,austral,4.4
2026-09-23 10:00,chaihuin,3.0
2026-09-23 10:00,corral,13.0
2026-09-23 10:00,corral_essal,4.8
2026-09-23 10:00,curinanco,2.8
2026-09-23 10:00,islateja,3.7
2026-09-23 10:00,las_lomas,4.0
2026-09-23 10:00,llancahue,3.0
2026-09-23 10:00,pichoy,1.8
2026-09-23 11:00,austral,4.1
2026-09-23 11:00,chaihuin,3.3
2026-09-23 11:00,corral,5.3
2026-09-23 11:00,corral_essal,4.7
2026-09-23 11:00,curinanco,4.8
2026-09-23 11:00,islateja,4.4
2026-09-23 11:00,las_lomas,2.5
2026-09-23 11:00,llancahue,4.7
2026-09-23 11:00,pichoy,2.2
2026-09-23 12:00,austral,5.8
2026-09-23 12:00,chaihuin,2.0
2026-09-23 12:00,corral,7.2
2026-09-23 12:00,corral_essal,6.6
2026-09-23 12:00,curinanco,6.3
2026-09-23 12:00,islateja,4.8
2026-09-23 12:00,las_lomas,4.2
2026-09-23 12:00,llancahue,3.8
2026-09-23 12:00,pichoy,2.6
2026-09-23 13:00,austral,7.1
2026-09-23 13:00,chaihuin,1.4
2026-09-23 13:00,corral,5.3
2026-09-23 13:00,corral_essal,1.9
2026-09-23 13:00,curinanco,2.6
2026-09-23 13:00,islateja,7.3
2026-09-23 13:00,las_lomas,4.2
2026-09-23 13:00,llancahue,3.8
2026-09-23 13:00,pichoy,3.8
2026-09-23 14:00,austral,8.8
2026-09-23 14:00,chaihuin,2.1
2026-09-23 14:00,corral,5.7
2026-09-23 14:00,corral_essal,2.4
2026-09-23 14:00,curinanco,5.0
2026-09-23 14:00,islateja,7.7
2026-09-23 14:00,las_lomas,5.3
2026-09-23 14:00,llancahue,6.2
2026-09-23 14:00,pichoy,4.4
2026-09-23 15:00,austral,7.5
2026-09-23 15:00,chaihuin,1.5
2026-09-23 15:00,corral,4.8
2026-09-23 15:00,corral_essal,3.0
2026-09-23 15:00,curinanco,3.4
2026-09-23 15:00,islateja,8.4
2026-09-23 15:00,las_lomas,6.6
2026-09-23 15:00,llancahue,8.0
2026-09-23 15:00,pichoy,5.6
2026-09-23 16:00,austral,10.9
2026-09-23 16:00,chaihuin,1.1
2026-09-23 16:00,corral,7.4
2026-09-23 16:00,corral_essal,1.1
2026-09-23 16:00,curinanco,4.6
2026-09-23 16:00,islateja,7.9
2026-09-23 16:00,las_lomas,6.7
2026-09-23 16:00,llancahue,8.1
2026-09-23 16:00,pichoy,9.0
2026-09-23 17:00,austral,6.2
2026-09-23 17:00,chaihuin,1.0
2026-09-23 17:00,corral,2.1
2026-09-23 17:00,corral_essal,0.3
2026-09-23 17:00,curinanco,2.1
2026-09-23 17:00,islateja,5.8
2026-09-23 17:00,las_lomas,7.6
2026-09-23 17:00,llancahue,6.0
2026-09-23 17:00,pichoy,3.8
2026-09-23 18:00,austral,5.5
